gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
EEF1A1P38,0.4843252625458281,-1.734881322708834,1.1205936456461651,0.2962258098698153,0.3813193649339339,-6.057209984301903
SULT1B1,0.1128224865751486,4.61341132639611,1.1205106016215953,0.2962590585015273,0.38133411288843144,-7.308612813098492
UPF3AP2,0.917368403383082,-1.8338822992451795,1.1201774547969163,0.2963924718971393,0.38147777770874086,-6.043392278534432
EFCAB14,0.061001440866358614,6.534946016930114,1.1193403585566812,0.2967279125393177,0.38188142542660297,-7.526432023992706
SRP19,0.07591267401550272,5.198732822944635,1.118261955302146,0.29716049995901894,0.38238190960974133,-7.4237974619866485
USP27X,0.09668728004130056,4.078509456685505,1.1181333861939338,0.29721210762715394,0.38242019642408576,-7.170771892116202
CRLF1,0.29785297676105804,0.8866783212600367,1.117817776643846,0.2973388239514973,0.38255511214816934,-6.473344690272148
SLC52A2,0.08945000539853698,4.83589061849812,1.1171627513534612,0.29760195343778517,0.3828655038382445,-7.360356229704245
DDT,0.07144157678974938,4.565196018611444,1.1170241027190433,0.2976576738412138,0.3829090373114313,-7.300928702880231
MRPS18A,0.09056835469355651,4.166339231866126,1.1165967944263575,0.2978294541762424,0.38308774984082117,-7.197035493006304
JAM2,0.12576052243920355,3.0476546652153287,1.1165696190133843,0.2978403815409093,0.38308774984082117,-6.88936738198447
NFIC,0.13706494057120988,4.668905005493843,1.115972460187664,0.2980805833790578,0.3833403489784767,-7.32608967859876
COMP,0.4332352129471111,-0.8861480122988098,1.1130018277370695,0.2992778089566246,0.38459736938620653,-6.191530442690343
PPM1A,0.06015948343286581,6.1700143688153375,1.1122111811038173,0.2995971056898471,0.3849511529823507,-7.522443640878482
DOLPP1,0.09359501173306128,4.1193575173774,1.108921371491951,0.30092860773088476,0.3865484626501323,-7.192210310090026
ZNF695,0.15029559860054498,1.9666756538517078,1.108513258548768,0.3010941158441966,0.3867307049424627,-6.663203576255931
HCAR1,0.22192869443303498,1.7114218048837195,1.1084080754608248,0.30113678413315026,0.3867307049424627,-6.617915317748282
